time,date,hour,precip [mm/day],KS_53719235 [m3/s]
471,2002-04-17,00:00:00.00,0,0.450229
472,2002-04-18,00:00:00.00,0,0.320314
473,2002-04-19,00:00:00.00,0,0.25723
474,2002-04-20,00:00:00.00,1.9,0.23142
475,2002-04-21,00:00:00.00,0,0.220657
476,2002-04-22,00:00:00.00,0,0.192062
477,2002-04-23,00:00:00.00,0,0.160034
478,2002-04-24,00:00:00.00,0.2,0.146149
479,2002-04-25,00:00:00.00,0,0.132316
480,2002-04-26,00:00:00.00,0,0.115893
481,2002-04-27,00:00:00.00,3.5,0.117204
482,2002-04-28,00:00:00.00,1.9,0.134922
483,2002-04-29,00:00:00.00,0,0.126274
484,2002-04-30,00:00:00.00,2.1,0.109295
485,2002-05-01,00:00:00.00,0,0.104886
486,2002-05-02,00:00:00.00,0,0.0954853
487,2002-05-03,00:00:00.00,0.5,0.0878451
488,2002-05-04,00:00:00.00,0,0.075346
489,2002-05-05,00:00:00.00,1.2,0.0641964
490,2002-05-06,00:00:00.00,16.3,0.119093
491,2002-05-07,00:00:00.00,1.2,0.188197
492,2002-05-08,00:00:00.00,0,0.159736
493,2002-05-09,00:00:00.00,0,0.121792
494,2002-05-10,00:00:00.00,0,0.119291
495,2002-05-11,00:00:00.00,0.4,0.0955167
496,2002-05-12,00:00:00.00,1.7,0.0819933
497,2002-05-13,00:00:00.00,1.6,0.0810516
498,2002-05-14,00:00:00.00,0,0.0726408
499,2002-05-15,00:00:00.00,0,0.0633021
500,2002-05-16,00:00:00.00,0,0.0542304
501,2002-05-17,00:00:00.00,0,0.0508916
502,2002-05-18,00:00:00.00,0,0.048792
503,2002-05-19,00:00:00.00,0,0.0423412
504,2002-05-20,00:00:00.00,4,0.0409807
505,2002-05-21,00:00:00.00,0,0.0438199
506,2002-05-22,00:00:00.00,0,0.0378392
507,2002-05-23,00:00:00.00,0,0.0310876
508,2002-05-24,00:00:00.00,6.5,0.0365639
509,2002-05-25,00:00:00.00,0.2,0.0439882
510,2002-05-26,00:00:00.00,10.9,0.0556468
511,2002-05-27,00:00:00.00,1.3,0.0703933
512,2002-05-28,00:00:00.00,5.3,0.0714171
513,2002-05-29,00:00:00.00,5.1,0.0760251
514,2002-05-30,00:00:00.00,0,0.0749832
515,2002-05-31,00:00:00.00,0.6,0.0593066
516,2002-06-01,00:00:00.00,0,0.0511317
517,2002-06-02,00:00:00.00,0,0.0447935
518,2002-06-03,00:00:00.00,0,0.0397695
519,2002-06-04,00:00:00.00,0,0.036987
520,2002-06-05,00:00:00.00,0,0.0364807
521,2002-06-06,00:00:00.00,0.9,0.0368078
522,2002-06-07,00:00:00.00,2,0.031046
523,2002-06-08,00:00:00.00,33.5,0.0680994
524,2002-06-09,00:00:00.00,18.4,0.167275
525,2002-06-10,00:00:00.00,1,0.210326
526,2002-06-11,00:00:00.00,11.9,0.21125
527,2002-06-12,00:00:00.00,0,0.240899
528,2002-06-13,00:00:00.00,0,0.214518
529,2002-06-14,00:00:00.00,4.7,0.187618
530,2002-06-15,00:00:00.00,1.6,0.191203
531,2002-06-16,00:00:00.00,8.6,0.199104
532,2002-06-17,00:00:00.00,0,0.223572
533,2002-06-18,00:00:00.00,0,0.188323
534,2002-06-19,00:00:00.00,0,0.151459
535,2002-06-20,00:00:00.00,0.4,0.141498
536,2002-06-21,00:00:00.00,7.6,0.126678
537,2002-06-22,00:00:00.00,1.8,0.128532
538,2002-06-23,00:00:00.00,0,0.111959
539,2002-06-24,00:00:00.00,0,0.0916343
540,2002-06-25,00:00:00.00,0,0.0815613
541,2002-06-26,00:00:00.00,0,0.0705062
