time,date,hour,precip [mm/day],KS_53719235 [m3/s]
514,2004-02-27,00:00:00.00,0,0
515,2004-02-28,00:00:00.00,0,0
516,2004-02-29,00:00:00.00,0,0
517,2004-03-01,00:00:00.00,1.7,0
518,2004-03-02,00:00:00.00,7.4,0
519,2004-03-03,00:00:00.00,2.8,0
520,2004-03-04,00:00:00.00,5.8,0
521,2004-03-05,00:00:00.00,0,0
522,2004-03-06,00:00:00.00,0,0
523,2004-03-07,00:00:00.00,0.2,0
524,2004-03-08,00:00:00.00,0.8,0
525,2004-03-09,00:00:00.00,0.7,0
526,2004-03-10,00:00:00.00,12.4,0
527,2004-03-11,00:00:00.00,1.2,0
528,2004-03-12,00:00:00.00,0,0
529,2004-03-13,00:00:00.00,0,0
530,2004-03-14,00:00:00.00,1.7,0
531,2004-03-15,00:00:00.00,0,0
532,2004-03-16,00:00:00.00,0,0
533,2004-03-17,00:00:00.00,0,0
534,2004-03-18,00:00:00.00,0,0
535,2004-03-19,00:00:00.00,0,0
536,2004-03-20,00:00:00.00,3.3,0
537,2004-03-21,00:00:00.00,9.7,0
538,2004-03-22,00:00:00.00,0.4,0
539,2004-03-23,00:00:00.00,0.2,0
540,2004-03-24,00:00:00.00,2,0
541,2004-03-25,00:00:00.00,16,0
542,2004-03-26,00:00:00.00,0,0
543,2004-03-27,00:00:00.00,2.5,0
544,2004-03-28,00:00:00.00,0,0
545,2004-03-29,00:00:00.00,0,0
546,2004-03-30,00:00:00.00,0,0
547,2004-03-31,00:00:00.00,0,0
548,2004-04-01,00:00:00.00,0,0
549,2004-04-02,00:00:00.00,0,0
550,2004-04-03,00:00:00.00,0,0
551,2004-04-04,00:00:00.00,0,0
552,2004-04-05,00:00:00.00,3.7,0
553,2004-04-06,00:00:00.00,3.1,0
554,2004-04-07,00:00:00.00,1.3,0
555,2004-04-08,00:00:00.00,1.2,0
556,2004-04-09,00:00:00.00,0,0
557,2004-04-10,00:00:00.00,0.5,0
558,2004-04-11,00:00:00.00,3.3,0
559,2004-04-12,00:00:00.00,0,0
560,2004-04-13,00:00:00.00,0,0
561,2004-04-14,00:00:00.00,0,0
562,2004-04-15,00:00:00.00,0,0
563,2004-04-16,00:00:00.00,0,0
564,2004-04-17,00:00:00.00,0,0
565,2004-04-18,00:00:00.00,0,0
566,2004-04-19,00:00:00.00,2.1,0
567,2004-04-20,00:00:00.00,5.4,0
568,2004-04-21,00:00:00.00,0,0
569,2004-04-22,00:00:00.00,0,0
570,2004-04-23,00:00:00.00,0,0
571,2004-04-24,00:00:00.00,3.1,0
572,2004-04-25,00:00:00.00,10.5,0
573,2004-04-26,00:00:00.00,0.9,0
574,2004-04-27,00:00:00.00,0.6,0
